Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Customer Ref,Qty-1,Qty-5,Qty-25,Part References,Value
BLM31PG121SN1L,Murata,ME,81-BLM31PG121SN1L,EMI Filter Beads, Chokes & Arrays 1206 120 OHM,emi001,1,5,25,"FB1",
77311-401-36LF,FCI,ME,649-77311-401-36LF,Headers & Wire Housings 36P STR SR TMT HDR TIN .425IN LENGTH,con007,1,5,25,"JP2",+9V
77311-401-36LF,FCI,ME,649-77311-401-36LF,Headers & Wire Housings 36P STR SR TMT HDR TIN .425IN LENGTH,con007,1,5,25,"JP3",+15V
ERJ-3EKF1501V,Panasonic,ME,667-ERJ-3EKF1501V,Thick Film Resistors - SMD 0603 1.5Kohms 1% Tol,res055,1,5,25,"R36",1.5K
CR0603-FX-1001HLF,Bourns,ME,652-CR0603-FX1001HLF,Thick Film Resistors - SMD 1KOHM 1/10WATT 1%,res001,3,15,75,"R31, R33, R34",1K
ERJ-3EKF1801V,Panasonic,ME,667-ERJ-3EKF1801V,Thick Film Resistors - SMD 0603 1.8Kohms 1% Tol,res020,2,10,50,"R4, R16",1K8
CR0603-FX-1004ELF,Bourns,ME,652-CR0603FX-1004ELF,Thick Film Resistors - SMD 1M 1% 1/10W,res003,1,5,25,"R42",1M
GRM1885C1H102FA01D,Murata,ME,81-GRM1885C1H102FA1D,Multilayer Ceramic Capacitors MLCC - SMD/SMT 1000PF 50V 1%,capcer017,2,10,50,"C2, C12",1n
RK73H1JTTDD3321F,KOA Speer,ME,660-RK73H1JTTDD3321F,Thick Film Resistors - SMD 1/10watts 3.32Kohms,res016,1,5,25,"R47",3.3k
CR0603-FX-1002HLF,Bourns,ME,652-CR0603-FX1002HLF,Thick Film Resistors - SMD 10KOHM 1/10WATT 1%,res002,7,35,175,"R8, R10, R13, R17, R24, R30, R41",10K
CR0603-FX-1002HLF,Bourns,ME,652-CR0603-FX1002HLF,Thick Film Resistors - SMD 10KOHM 1/10WATT 1%,res002,1,5,25,"R26",10k
ESD35C103K4T2A-18,AVX,ME,581-ESD35C103K4T2A18,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50volts 0.01uF 10% X7R 0603 SIZE,capcer029,1,5,25,"C16",10n
GRM21BR61E106KA73L,Murata,ME,81-GRM21BR61E106KA3L,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 X5R 25V 10uF,capcer020,18,90,450,"C1, C4, C5, C6, C7, C8, C9, C10, C11, C14, C15, C17, C23, C24, C25, C26, C27, C28",10u
RK73H1HTTC1502F,KOA Speer,ME,660-RK73H1HTTC1502F,Thick Film Resistors - SMD 15K OHM 1%,res025,1,5,25,"R29",15K
ECH-U1H183GX5,Panasonic,ME,667-ECH-U1H183GX5,Film Capacitors 0.018uF 50volts 2% 1210 PPS Film,capfilm015,2,10,50,"C19, C20",18n
ERJ-3EKF2202V,Panasonic,ME,667-ERJ-3EKF2202V,Thick Film Resistors - SMD 0603 22Kohms 1% Tol,res056,5,25,125,"R1, R19, R21, R35, R40",22K
ERJ-3EKF2202V,Panasonic,ME,667-ERJ-3EKF2202V,Thick Film Resistors - SMD 0603 22Kohms 1% Tol,res056,1,5,25,"R25",22k
ECH-U1H223JX5,Panasonic,ME,667-ECH-U1H223JX5,Film Capacitors 0.022uF 50volts 5% 1210 PPS Film,capfilm014,2,10,50,"C18, C22",22n
RK73H1JTTD4702F,KOA Speer,ME,660-RK73H1JTTD4702F,Thick Film Resistors - SMD 1/10watts 47Kohms 1%,res040,3,15,75,"R5, R7, R23",47K
CR0201-FW-1000GLF,Bourns,ME,652-CR0201FW-1000GLF,Thick Film Resistors - SMD 100ohm 1% 250ppm,res014,1,5,25,"R22",100
CR0603-FX-1003ELF,Bourns,ME,652-CR0603-FX-103ELF,Thick Film Resistors - SMD 100K 1% 1/10 WATT,res004,6,30,150,"R2, R3, R18, R20, R28, R32",100K
CB027D0104JBA,AVX,ME,581-CB027D0104J,Film Capacitors 50vOLT 0.1uF 5% 1210,capfilm002,3,15,75,"C3, C13, C21",100n
CRCW0603150KFKEB,Vishay,ME,71-CRCW0603150KFKEB,Thick Film Resistors - SMD 1/10watt 150Kohms 1%,res049,1,5,25,"R11",150K
